harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat
NA,0,12,16,Moderate,Strongly agree,NA,NA,Working fulltime
NA,30,0,12,Liberal,Disagree,No,No,Working fulltime
No,NA,NA,16,Conservative,NA,No,No,Retired
NA,10,0,12,Moderate,Disagree,NA,NA,Working parttime
No,NA,NA,18,Slightly liberal,NA,Yes,Yes,Working parttime
NA,0,2,14,Slightly liberal,Strongly agree,No,Yes,Keeping house
NA,0,40,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,11,Slghtly conservative,NA,Yes,Yes,Working parttime
NA,0,0,12,NA,Agree,NA,NA,Working fulltime
No,NA,NA,14,Conservative,NA,No,No,Retired
No,0,2,12,NA,NA,No,No,Keeping house
NA,NA,NA,12,Slghtly conservative,Dont know,NA,NA,Retired
NA,0,10,12,Slightly liberal,Agree,No,No,Working parttime
Does not apply (i do not have a job/superior/co-worker),NA,NA,NA,Liberal,NA,No,No,Keeping house
NA,30,0,10,Moderate,Agree,No,No,Temp not working
Yes,NA,NA,13,Moderate,NA,NA,NA,Working fulltime
No,NA,NA,13,Conservative,NA,NA,NA,Temp not working
NA,0,1,10,Slightly liberal,Agree,NA,NA,Keeping house
No,0,1,18,Liberal,NA,Yes,No,Working fulltime
NA,0,2,13,Liberal,Agree,NA,NA,Working fulltime
NA,0,25,12,Liberal,Strongly agree,No,No,Working fulltime
No,NA,NA,11,Slghtly conservative,NA,No,Yes,Temp not working
No,0,1,10,Slightly liberal,NA,Yes,Yes,Working parttime
No,NA,NA,12,Extrmly conservative,NA,NA,NA,"Unempl, laid off"
No,NA,NA,15,Liberal,NA,No,Yes,Working fulltime
No,NA,NA,3,NA,NA,NA,NA,Retired
NA,NA,NA,19,Liberal,Agree,NA,NA,Retired
No,0,0,14,Moderate,NA,Yes,Yes,Working parttime
NA,10,0,18,Moderate,Agree,No,No,Retired
No,NA,NA,12,Conservative,NA,No,No,Retired
NA,0,1,12,Liberal,Strongly agree,No,No,"Unempl, laid off"
No,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,2,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Slghtly conservative,NA,No,No,Retired
NA,0,0,12,Moderate,Disagree,NA,NA,"Unempl, laid off"
NA,30,0,12,Conservative,Agree,No,Yes,Working fulltime
No,0,5,16,Conservative,NA,No,No,Working parttime
NA,0,2,16,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,16,Conservative,NA,No,Yes,Working fulltime
NA,NA,NA,14,Moderate,Agree,NA,NA,Retired
No,NA,NA,12,Extrmly conservative,NA,NA,NA,Working fulltime
NA,0,1,12,Moderate,Agree,NA,NA,Working parttime
NA,0,7,16,Moderate,Strongly agree,Yes,No,Working parttime
No,NA,NA,20,Liberal,NA,No,No,Working fulltime
No,30,1,17,Moderate,NA,No,No,Retired
No,NA,NA,15,Extremely liberal,NA,No,No,Working fulltime
NA,0,60,16,Liberal,Strongly agree,No,Yes,Working fulltime
NA,0,4,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,17,Slightly liberal,NA,Yes,No,School
No,0,20,16,Extremely liberal,NA,No,No,Working fulltime
